hotel,cafe_da_manha_incluido,piscina,spa,pesca,ar_condicionado,merguho,trilha_a_pe,hidromassagem,wifi_gratuito,recarga_veiculo_eletrico,academia,pets,cadeira_de_rodas,banheira,praia,sauna,vista_para_o_mar,servico_de_quarto,jacuzzi,com_rstaurante,estacionamento
pousada e hostel arauna,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
pousada la portella,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
samba cabo frio,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
pousada porto fino,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
paradiso corporate,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
aloha hostel cabo frio,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
pousada on shore,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
villa solarium pousada,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hotel mirante do forte,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
village du soleil,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,1
hotel real,1,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1
pousada kopenhagen beach,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
pousada água marinha,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1
nova onda hotel,1,1,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
pousada boutique do lazer,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1
suites phison,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
hotel mar de cabo frio,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1
pousada velas do forte,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1
green hotéis,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1
hotel paradiso del sol,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1
pousada vida boa,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0
zênit hostel da cris,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1
mar doce lar,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1
pousada boulevard,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
pousada vila appia,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,1
hihome mandai flat,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casa azul linda casa familiar com piscina no peró em cabo frio,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
villa saint tropez,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pousada paraíso das conchas na praia do peró cabo frio rj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pousada mariá,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotel la brise,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
passagem concept hotel e spa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apart hotel porto príncipe,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotel solar do arco,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pousada vale do amanhecer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartamento pé na areia 212 apartamento beira mar 210 cabo frio,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casa di gaya,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eco suites caravelas,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
villa vitoria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
villa bella vista,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotel boutique recanto da passagem,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mediterrâneo 507 todo equipado, ar condicionado, churrasqueira na varanda, internet fibra 600mb, estacionamento grátis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buzios espiritualidade hotel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mediterrane hotel by castelo itaipava,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hotel cave do sol,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
resort goldenlake em arraial do cabo,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loft praia dos anjos,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
